date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:18	259072/259072	---MCZ	200	added ('OK')	text/html	etag:W/%2264f54bdd-3f400%22	https://htmldemo.net/babify/babify/index.html	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/index.html	(from )
16:35:18	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2010:35:18%20GMT	https://htmldemo.net/robots.txt		(from )
16:35:19	447/447	---MC-	200	added ('OK')	image/png	date:Thu,%2021%20Sep%202023%2010:35:19%20GMT	https://htmldemo.net/babify/babify/assets/images/favicon.png	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/images/favicon.png	(from https://htmldemo.net/babify/babify/index.html)
16:35:19	1565/1565	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c5b-61d%22	https://htmldemo.net/babify/babify/assets/css/giulia-plain.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/giulia-plain.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:20	12271/12271	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c5d-2fef%22	https://htmldemo.net/babify/babify/assets/css/lastudioicon.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/lastudioicon.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:20	235269/235269	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c5b-39705%22	https://htmldemo.net/babify/babify/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/bootstrap.min.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:20	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c62-406d%22	https://htmldemo.net/babify/babify/assets/css/swiper-bundle.min.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/swiper-bundle.min.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:21	13749/13749	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c5c-35b5%22	https://htmldemo.net/babify/babify/assets/css/glightbox.min.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/glightbox.min.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:21	3493/3493	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c5e-da5%22	https://htmldemo.net/babify/babify/assets/css/nice-select2.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/nice-select2.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:23	5141/5141	---MC-	200	added ('OK')	image/png	date:Thu,%2021%20Sep%202023%2010:35:23%20GMT	https://htmldemo.net/babify/babify/assets/images/baby-header-left.png	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/images/baby-header-left.png	(from https://htmldemo.net/babify/babify/index.html)
16:35:23	233044/233044	---MCZ	200	added ('OK')	text/css	etag:W/%2264f54c61-38e54%22	https://htmldemo.net/babify/babify/assets/css/style.min.css	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/css/style.min.css	(from https://htmldemo.net/babify/babify/index.html)
16:35:24	1749/1749	---MC-	200	added ('OK')	image/png	date:Thu,%2021%20Sep%202023%2010:35:24%20GMT	https://htmldemo.net/babify/babify/assets/images/logo.png	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/images/logo.png	(from https://htmldemo.net/babify/babify/index.html)
16:35:24	4976/4976	---MC-	200	added ('OK')	image/png	date:Thu,%2021%20Sep%202023%2010:35:24%20GMT	https://htmldemo.net/babify/babify/assets/images/baby-header-right.png	C:/My%20Web%20Sites/baby1/htmldemo.net/babify/babify/assets/images/baby-header-right.png	(from https://htmldemo.net/babify/babify/index.html)
